Player,Country,Team,Goals,Season
Nathan Byrne,England,Wigan Athletic,1,2019-2020
Ben Cabango,Wales,Swansea City,1,2019-2020
Geoff Cameron,USA,Queens Park Rangers,1,2019-2020
Trevoh Chalobah,England,Huddersfield Town,1,2019-2020
Cyrus Christie,Ireland,Fulham FC,1,2019-2020
Matt Clarke,England,Derby County,1,2019-2020
Jake Clarke-Salter,England,Birmingham City,1,2019-2020
Maxime Colin,France,Birmingham City,1,2019-2020
Hayden Coulson,England,Middlesbrough FC,1,2019-2020
Dan Crowley,England,Birmingham City,1,2019-2020
Josh Cullen,Ireland,Charlton Athletic,1,2019-2020
Liam Cullen,Wales,Swansea City,1,2019-2020
Henrik Dalsgaard,Denmark,Brentford FC,1,2019-2020
Matty Daly,England,Huddersfield Town,1,2019-2020
Donervon Daniels,Montserrat,Luton Town,1,2019-2020
Josh Davison,England,Charlton Athletic,1,2019-2020
Michael Dawson,England,Nottingham Forest,1,2019-2020
Harlee Dean,England,Birmingham City,1,2019-2020
Mame Diouf,Senegal,Stoke City,1,2019-2020
Nathan Dyer,England,Swansea City,1,2019-2020
Corry Evans,Northern Ireland,Blackburn Rovers,1,2019-2020
Nathan Ferguson,England,West Bromwich Albion,1,2019-2020
Tariqe Fosu,Ghana,Brentford FC,1,2019-2020
Francisco Villalba,Spain,Birmingham City,1,2019-2020
Joe Gelhardt,England,Wigan Athletic,1,2019-2020
Kieran Gibbs,England,West Bromwich Albion,1,2019-2020
Jon Gorenc Stanković,Slovenia,Huddersfield Town,1,2019-2020
Ahmed Hegazy,Egypt,West Bromwich Albion,1,2019-2020
George Honeyman,England,Hull City,1,2019-2020
Tom Huddlestone,England,Derby County,1,2019-2020
Sam Hutchinson,England,Sheffield Wednesday,1,2019-2020
Julian Jeanvier,Guinea,Brentford FC,1,2019-2020
Mathias Jensen,Denmark,Brentford FC,1,2019-2020
João Carvalho,Portugal,Nottingham Forest,1,2019-2020
Marvin Johnson,England,Middlesbrough FC,1,2019-2020
Todd Kane,England,Queens Park Rangers,1,2019-2020
George Lapslie,England,Charlton Athletic,1,2019-2020
Elliot Lee,England,Luton Town,1,2019-2020
Ryan Leonard,England,Millwall FC,1,2019-2020
Marcus Maddison,England,Hull City,1,2019-2020
Jacques Maghoma,Congo DR,Birmingham City,1,2019-2020
Scott Malone,England,Derby County,1,2019-2020
Conor Masterson,Ireland,Queens Park Rangers,1,2019-2020
Garath McCleary,Jamaica,Reading FC,1,2019-2020
Kamohelo Mokotjo,South Africa,Brentford FC,1,2019-2020
Jayson Molumby,Ireland,Millwall FC,1,2019-2020
George Moncur,England,Luton Town,1,2019-2020
Liam Moore,Jamaica,Reading FC,1,2019-2020
Taylor Moore,England,Bristol City,1,2019-2020
Louis Moult,England,Preston North End,1,2019-2020
Ádám Nagy,Hungary,Bristol City,1,2019-2020
Curtis Nelson,England,Cardiff City,1,2019-2020
David Nugent,England,Preston North End,1,2019-2020
Callum O'Dowda,Ireland,Bristol City,1,2019-2020
Clarke Oduor,Kenya,Barnsley FC,1,2019-2020
Kasey Palmer,Jamaica,Bristol City,1,2019-2020
Jason Pearce,England,Charlton Athletic,1,2019-2020
Ben Pearson,England,Preston North End,1,2019-2020
Pelé,Guinea-Bissau,Reading FC,1,2019-2020
Dan Potts,England,Luton Town,1,2019-2020
Luka Račić,Denmark,Brentford FC,1,2019-2020
Joe Rafferty,Ireland,Preston North End,1,2019-2020
Adam Reach,England,Sheffield Wednesday,1,2019-2020
Andy Rinomhota,Zimbabwe,Reading FC,1,2019-2020
Connor Roberts,Wales,Swansea City,1,2019-2020
Marc Roberts,England,Birmingham City,1,2019-2020
Patrick Roberts,England,Middlesbrough FC,1,2019-2020
Antonee Robinson,USA,Wigan Athletic,1,2019-2020
George Saville,Northern Ireland,Middlesbrough FC,1,2019-2020
Romaine Sawyers,St. Kitts & Nevis,West Bromwich Albion,1,2019-2020
James Scott,Scotland,Hull City,1,2019-2020
Andrew Shinnie,Scotland,Luton Town,1,2019-2020
Jiří Skalák,Czech Republic,Millwall FC,1,2019-2020
Djed Spence,England,Middlesbrough FC,1,2019-2020
Callum Styles,Hungary,Barnsley FC,1,2019-2020
Luke Thomas,England,Barnsley FC,1,2019-2020
Ben Thompson,England,Millwall FC,1,2019-2020
Harry Toffolo,England,Huddersfield Town,1,2019-2020
Ryan Tunnicliffe,England,Luton Town,1,2019-2020
Joel Valencia,Ecuador,Brentford FC,1,2019-2020
Mike van der Hoorn,Netherlands,Swansea City,1,2019-2020
Isaac Vassell,England,Cardiff City,1,2019-2020
Tyler Walker,England,Nottingham Forest,1,2019-2020
Marley Watkins,Wales,Bristol City,1,2019-2020
Ben White,England,Leeds United,1,2019-2020
Morgan Whittaker,England,Derby County,1,2019-2020
Joe Williams,England,Wigan Athletic,1,2019-2020
Sam Winnall,England,Sheffield Wednesday,1,2019-2020
Joe Worrall,England,Nottingham Forest,1,2019-2020
Andy Yiadom,Ghana,Reading FC,1,2019-2020
